SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
1178,Emmalee,461582,4,59,F,Married,"9,73,859",Medium(<50%)
1179,Jovani,461721,5,23,F,Married,"5,85,884",Medium(<50%)
1180,Brynn,461793,6,32,F,Never Married,"8,08,792",Medium(<50%)
1181,Eddie,461811,5,37,M,Married,"1,32,332",Medium(<50%)
1182,Jeremiah,461876,6,70,M,Married,"68,393",Medium(<50%)
1183,Heidi,461941,6,50,M,Never Married,"1,66,296",Medium(<50%)
1184,Charlie,462498,10,33,F,Never Married,"2,52,555",Medium(<50%)
1185,Carla,463046,3,62,F,Married,"3,35,124",Medium(<50%)
1186,Cesar,465862,3,30,M,Married,"5,91,703",Medium(<50%)
1187,Dillan,466002,7,59,F,Never Married,"1,35,863",Medium(<50%)
1188,Darlene,466077,1,56,F,Divorced,"5,93,672",Medium(<50%)
1189,Christiana,467302,4,34,M,Never Married,"2,62,589",Medium(<50%)
1190,Carrie,467313,8,53,F,Never Married,"3,56,945",Medium(<50%)
1191,Diane,467405,4,49,M,Married,"4,29,784",Medium(<50%)
1192,Amir,467851,3,26,M,Divorced,"5,25,063",Medium(<50%)
1193,Emily,468127,7,59,M,Divorced,"6,22,690",Medium(<50%)
1194,Diana,468201,4,64,M,Married,"2,84,213",Medium(<50%)
1195,Ericka,468648,7,25,F,Never Married,"6,98,013",Medium(<50%)
1196,Jakob,468747,7,65,M,Never Married,"5,40,757",Medium(<50%)
1197,Eleanor,469052,6,55,M,Married,"4,15,844",Medium(<50%)
1198,Desmond,469305,4,34,M,Never Married,"2,54,432",Medium(<50%)
1199,Davin,469523,5,70,M,Married,"9,59,080",Medium(<50%)
1200,Brennan,469548,6,69,M,Married,"1,86,546",Medium(<50%)
1201,Fernando,469608,4,29,M,Never Married,"1,16,806",Medium(<50%)
1202,Drew,469737,6,45,M,Divorced,"8,77,622",Medium(<50%)
1203,Aditya,469886,1,34,F,Married,"1,42,442",Medium(<50%)
1204,Darren,470444,4,32,M,Married,"3,01,136",Medium(<50%)
1205,Cory,470661,4,44,M,Married,"6,86,035",Medium(<50%)
1206,Jadyn,470906,5,44,M,Married,"3,48,823",Medium(<50%)
1207,Belen,471122,4,59,M,Married,"7,32,159",Medium(<50%)
1208,Blake,471177,4,51,F,Married,"8,31,573",Medium(<50%)
1209,Jeffery,471503,2,33,M,Married,"3,70,797",Medium(<50%)
1210,Dominique,471715,5,70,M,Never Married,"7,24,673",Medium(<50%)
1211,Ireland,472194,3,66,M,Married,"4,54,294",Medium(<50%)
1212,Jakob,472441,6,32,M,Divorced,"2,01,254",Medium(<50%)
1213,Jarred,472515,4,49,F,Divorced,"5,96,225",Medium(<50%)
1214,Camila,472783,2,68,M,Married,"6,24,030",Medium(<50%)
1215,Darius,472884,4,29,F,Married,"2,91,984",Medium(<50%)
1216,Gustavo,473013,5,41,F,Never Married,"1,33,331",Medium(<50%)
1217,Celia,473020,3,57,M,Divorced,"1,01,496",Medium(<50%)
1218,Clara,473470,4,19,F,Never Married,"6,99,182",Medium(<50%)
1219,Adolfo,474150,8,34,F,Married,"7,83,705",Medium(<50%)
1220,Jadyn,474297,9,47,M,Married,"85,312",Medium(<50%)
1221,Abbey,474518,2,37,M,Divorced,"9,33,642",Medium(<50%)
1222,Joslyn,474989,6,56,M,Divorced,"4,25,271",Medium(<50%)
1223,Alisa,475555,4,37,M,Married,"2,72,751",Medium(<50%)
1224,Cade,475701,1,38,M,Never Married,"5,12,539",Medium(<50%)
1225,Charlotte,475719,7,68,M,Married,"4,20,109",Medium(<50%)
1226,Deborah,475792,4,26,M,Married,"7,32,701",Medium(<50%)
1227,Emilee,475881,3,18,F,Never Married,"8,33,916",Medium(<50%)
1228,Haley,475895,2,33,F,Married,"8,43,271",Medium(<50%)
1229,Hudson,476103,10,23,F,Divorced,"3,07,876",Medium(<50%)
1230,Ethan,476244,6,44,M,Married,"7,41,245",Medium(<50%)
1231,Angel,476313,9,51,M,Divorced,"8,08,458",Medium(<50%)
1232,Bryana,476364,5,68,M,Never Married,"8,90,387",Medium(<50%)
1233,Corbin,476630,1,27,M,Married,"3,82,934",Medium(<50%)
1234,Frank,476810,9,64,M,Divorced,"5,60,019",Medium(<50%)
1235,Elliott,477153,4,26,M,Divorced,"6,61,165",Medium(<50%)
1236,Arturo,477259,3,65,M,Married,"4,98,327",Medium(<50%)
1237,Joana,477981,3,51,M,Married,"95,447",Medium(<50%)
1238,Barbara,478092,6,29,M,Divorced,"4,02,600",Medium(<50%)
1239,Elisha,478151,4,61,M,Never Married,"7,46,056",Medium(<50%)
1240,Fernanda,478210,5,58,M,Married,"7,59,299",Medium(<50%)
1241,Abigale,478443,6,61,F,Married,"2,75,924",Medium(<50%)
1242,Bailee,478556,4,40,F,Divorced,"4,21,108",Medium(<50%)
1243,Genesis,478608,9,64,F,Married,"1,67,577",Medium(<50%)
1244,Christopher,479317,4,26,M,Married,"3,34,441",Medium(<50%)
1245,Jermaine,479867,4,38,F,Never Married,"1,68,214",Medium(<50%)
1246,Hayden,479976,8,57,M,Never Married,"5,07,660",Medium(<50%)
1247,Jaida,480157,10,31,F,Married,"9,02,109",Medium(<50%)
1248,Abigayle,480405,7,20,M,Never Married,"8,37,862",Medium(<50%)
1249,Jeremiah,481143,3,35,M,Never Married,"9,38,828",Medium(<50%)
1250,Jacob,481689,5,27,F,Never Married,"57,775",Medium(<50%)
1251,Dakota,481760,7,39,F,Married,"9,98,927",Medium(<50%)
1252,Jovany,482472,6,54,M,Married,"7,85,282",Medium(<50%)
1253,Houston,483045,6,40,M,Married,"7,60,705",Medium(<50%)
1254,Jaylan,483375,4,45,M,Never Married,"7,10,948",Medium(<50%)
1255,Halle,483447,5,40,M,Married,"3,94,545",Medium(<50%)
1256,Alicia,483449,6,24,M,Divorced,"5,55,397",Medium(<50%)
1257,Deasia,483473,4,52,F,Married,"3,84,527",Medium(<50%)
1258,Crystal,483844,3,35,M,Never Married,"5,69,889",Medium(<50%)
1259,Jonathan,483997,5,44,M,Married,"5,48,455",Medium(<50%)
1260,Allan,484209,7,32,F,Married,"9,67,018",Medium(<50%)
1261,Dominic,484370,7,53,F,Married,"1,58,273",Medium(<50%)
1262,Braydon,484411,6,25,M,Married,"2,29,724",Medium(<50%)
1263,Alena,484941,5,50,F,Married,"8,71,160",Medium(<50%)
1264,Alexzander,485124,3,26,M,Married,"3,41,587",Medium(<50%)
1265,Julie,485327,3,31,M,Married,"2,76,885",Medium(<50%)
1266,Elsa,485425,5,36,F,Never Married,"2,36,499",Medium(<50%)
1267,Conner,485857,8,21,M,Married,"2,41,188",Medium(<50%)
1268,Everett,485935,5,42,F,Married,"3,88,040",Medium(<50%)
1269,Donte,486023,4,70,M,Married,"4,61,713",Medium(<50%)
1270,Camren,486428,4,66,M,Married,"2,75,655",Medium(<50%)
1271,Brody,487089,4,60,M,Married,"5,98,042",Medium(<50%)
1272,Dallas,487265,2,64,F,Married,"7,45,850",Medium(<50%)
1273,Julio,487356,6,50,F,Married,"2,92,768",Medium(<50%)
1274,Darrius,487407,3,40,M,Divorced,"3,13,975",Medium(<50%)
1275,Destinee,487435,1,62,F,Never Married,"8,65,802",Medium(<50%)
1276,Heriberto,487584,3,34,F,Married,"6,43,572",Medium(<50%)
1277,David,487870,6,56,M,Never Married,"2,14,190",Medium(<50%)
1278,Aimee,488077,2,27,M,Divorced,"8,07,403",Medium(<50%)
1279,Anderson,488147,4,53,M,Married,"1,38,520",Medium(<50%)
1280,Diego,488193,4,20,M,Married,"2,63,093",Medium(<50%)
1281,Janessa,488374,6,63,M,Never Married,"1,24,119",Medium(<50%)
1282,Joe,488414,10,39,M,Never Married,"9,67,552",Medium(<50%)
1283,Glenn,488713,6,29,F,Never Married,"3,08,702",Medium(<50%)
1284,Isis,489986,2,68,F,Married,"74,224",Medium(<50%)
1285,Daphne,490002,4,33,M,Married,"7,98,796",Medium(<50%)
1286,Brendan,490385,3,20,F,Divorced,"8,20,052",Medium(<50%)
1287,Gary,490593,4,70,F,Married,"2,60,656",Medium(<50%)
1288,Christian,490874,5,69,F,Married,"1,71,244",Medium(<50%)
1289,Janessa,491102,4,64,M,Divorced,"2,34,215",Medium(<50%)
1290,Ben,491114,3,58,F,Divorced,"5,72,316",Medium(<50%)
1291,Alberto,491254,4,55,M,Divorced,"1,81,102",Medium(<50%)
1292,Chaim,491695,4,20,M,Married,"1,64,584",Medium(<50%)
1293,Helena,492556,3,36,F,Married,"4,16,609",Medium(<50%)
1294,Garrett,493617,6,19,F,Never Married,"9,02,163",Medium(<50%)
1295,Gannon,493644,9,23,M,Married,"3,27,498",Medium(<50%)
1296,Carmen,494777,5,45,F,Never Married,"7,07,004",Medium(<50%)
1297,Guadalupe,495641,2,55,M,Never Married,"4,06,872",Medium(<50%)
1298,Collin,495910,6,53,M,Never Married,"55,572",Medium(<50%)
1299,Jazmine,496079,1,21,F,Never Married,"3,14,367",Medium(<50%)
1300,Braiden,496282,2,34,M,Divorced,"7,00,185",Medium(<50%)
1301,Fred,496304,3,45,M,Never Married,"5,83,257",Medium(<50%)
1302,Julius,497012,7,54,M,Married,"8,25,923",Medium(<50%)
1303,Jalen,497618,6,58,M,Married,"3,06,808",Medium(<50%)
1304,Candice,497634,5,55,M,Never Married,"6,53,010",Medium(<50%)
1305,Jose,498036,2,39,M,Married,"2,73,154",Medium(<50%)
1306,Iliana,498295,2,52,M,Married,"1,02,822",Medium(<50%)
1307,Jace,498524,5,55,M,Divorced,"5,96,131",Medium(<50%)
1308,Colton,499075,1,27,F,Married,"8,34,392",Medium(<50%)
1309,Brennen,499668,4,21,M,Never Married,"3,43,534",Medium(<50%)
1310,Alex,499744,9,63,M,Married,"1,03,866",Medium(<50%)
1311,Howard,499870,3,45,M,Never Married,"2,50,927",Medium(<50%)
1312,Jarred,500313,4,33,M,Married,"6,51,829",Medium(<50%)
1313,Bruce,500344,4,33,F,Never Married,"5,95,133",Medium(<50%)
1314,Baylee,500448,3,39,M,Married,"57,926",Medium(<50%)
1315,Hallie,501038,7,25,M,Never Married,"2,54,997",Medium(<50%)
1316,Justus,501426,5,64,F,Married,"4,86,963",Medium(<50%)
1317,Benny,501468,4,22,M,Never Married,"6,05,699",Medium(<50%)
1318,Brendon,502207,5,68,M,Married,"5,51,672",Medium(<50%)
1319,Forrest,502269,7,28,M,Married,"4,67,666",Medium(<50%)
1320,Jair,502389,8,64,M,Divorced,"8,04,748",Medium(<50%)
1321,Alden,502490,5,66,M,Married,"1,05,140",Medium(<50%)
1322,Hunter,502983,4,28,M,Divorced,"4,30,355",Medium(<50%)
1323,Alfonso,503034,4,21,M,Married,"4,05,323",Medium(<50%)
1324,Ignacio,503276,8,22,M,Married,"3,03,521",Medium(<50%)
1325,Adriana,503349,7,40,M,Never Married,"1,40,962",Medium(<50%)
1326,Abraham,503468,4,22,M,Married,"7,42,471",Medium(<50%)
1327,Eddy,503575,2,26,M,Divorced,"9,11,413",Medium(<50%)
1328,Deborah,503659,6,32,F,Never Married,"5,19,600",Medium(<50%)
1329,Cristopher,504035,5,40,M,Never Married,"9,05,149",Medium(<50%)
1330,Dylan,504531,2,68,F,Married,"5,35,450",Medium(<50%)
1331,Dillon,504680,5,46,M,Never Married,"3,29,186",Medium(<50%)
1332,Alison,504793,3,63,F,Divorced,"7,29,504",Medium(<50%)
1333,Gaige,505482,9,51,F,Divorced,"8,58,100",Medium(<50%)
1334,Carissa,505576,7,51,F,Married,"9,43,492",Medium(<50%)
1335,Gisselle,505593,3,68,M,Married,"67,827",Medium(<50%)
1336,Jayden,505763,4,50,F,Never Married,"3,23,751",Medium(<50%)
1337,Chandler,505965,6,51,M,Never Married,"9,45,818",Medium(<50%)
1338,Hugo,506155,4,68,F,Never Married,"3,10,449",Medium(<50%)
1339,Brooklyn,506269,2,43,M,Married,"4,75,549",Medium(<50%)
1340,Haley,507773,3,52,M,Married,"7,06,197",Medium(<50%)
1341,Fatima,507847,6,57,F,Married,"2,17,096",Medium(<50%)
1342,Jean,507971,9,57,M,Married,"8,10,828",Medium(<50%)
1343,Jaime,509589,7,38,F,Divorced,"7,30,690",Medium(<50%)
1344,Harley,510098,6,19,M,Married,"96,155",Medium(<50%)
1345,Jase,510310,3,49,F,Married,"8,54,112",Medium(<50%)
1346,Emmett,511025,5,20,M,Never Married,"3,52,734",Medium(<50%)
1347,Jazmyn,511426,4,62,M,Married,"1,92,591",Medium(<50%)
1348,Abdiel,512981,2,68,F,Divorced,"3,69,437",Medium(<50%)
1349,Deja,513027,5,43,M,Married,"3,20,676",Medium(<50%)
1350,Aron,513115,9,29,F,Married,"5,32,105",Medium(<50%)
1351,Elle,513187,4,32,M,Married,"3,31,759",Medium(<50%)
1352,Calista,513986,2,52,F,Divorced,"4,27,222",Medium(<50%)
1353,Brennan,514544,9,53,M,Divorced,"8,08,290",Medium(<50%)
1354,Julia,514626,5,24,M,Never Married,"5,31,556",Medium(<50%)
1355,Abbey,515666,1,70,F,Never Married,"8,46,525",Medium(<50%)
1356,Cyrus,516655,2,69,M,Married,"3,34,003",Medium(<50%)
1357,Felix,517046,6,58,M,Never Married,"5,81,082",Medium(<50%)
1358,Cooper,517340,4,41,M,Married,"2,49,041",Medium(<50%)
1359,Akira,517671,4,44,M,Never Married,"3,79,567",Medium(<50%)
1360,Jaquelin,517807,2,66,F,Married,"6,74,442",Medium(<50%)
1361,Colton,518027,2,32,M,Never Married,"3,79,151",Medium(<50%)
1362,Claudia,518423,3,54,M,Married,"2,64,631",Medium(<50%)
1363,Cory,518927,4,65,F,Married,"4,78,437",Medium(<50%)
1364,Dangelo,519035,3,28,M,Never Married,"6,56,513",Medium(<50%)
1365,Brett,519128,6,48,M,Never Married,"7,63,324",Medium(<50%)
1366,Bria,519419,6,65,F,Never Married,"2,07,630",Medium(<50%)
1367,Janet,519782,5,19,F,Never Married,"5,98,583",Medium(<50%)
1368,Ibrahim,520663,4,43,F,Married,"2,96,011",Medium(<50%)
1369,Eva,521105,2,35,F,Married,"4,02,083",Medium(<50%)
1370,Estrella,522085,4,19,M,Divorced,"1,37,073",Medium(<50%)
1371,Angelo,522684,4,65,M,Divorced,"7,00,788",Medium(<50%)
1372,Heidi,522716,8,48,M,Married,"6,97,483",Medium(<50%)
1373,Fidel,522735,4,20,M,Married,"2,98,658",Medium(<50%)
1374,Colt,523697,7,19,F,Never Married,"8,22,675",Medium(<50%)
1375,Ismael,523719,1,64,F,Divorced,"1,57,153",Medium(<50%)
1376,Ciara,523809,6,59,F,Married,"3,18,738",Medium(<50%)
1377,Branden,524062,4,68,M,Married,"7,63,860",Medium(<50%)
1378,Elyssa,524287,3,44,M,Married,"1,70,795",Medium(<50%)
1379,Jaiden,525521,5,55,M,Never Married,"2,92,559",Medium(<50%)
1380,Chasity,526197,6,55,F,Divorced,"3,64,139",Medium(<50%)
1381,Greyson,526444,5,53,F,Divorced,"6,35,667",Medium(<50%)
1382,Caleb,526509,2,18,M,Married,"2,55,843",Medium(<50%)
1383,Christine,526594,3,23,M,Never Married,"6,51,133",Medium(<50%)
1384,Griffin,526663,3,59,M,Married,"8,73,073",Medium(<50%)
1385,Coby,527283,3,56,M,Never Married,"8,97,176",Medium(<50%)
1386,Gage,527348,5,19,F,Never Married,"6,05,962",Medium(<50%)
1387,Dane,527393,5,28,M,Married,"9,45,832",Medium(<50%)
1388,Bradley,527767,9,30,M,Married,"3,55,443",Medium(<50%)
1389,Abagail,528596,6,33,F,Never Married,"7,74,972",Medium(<50%)
1390,Abbie,529040,5,43,F,Married,"2,50,355",Medium(<50%)
1391,Adan,529257,3,33,M,Married,"9,81,297",Medium(<50%)
1392,Bilal,529538,4,30,M,Never Married,"3,68,263",Medium(<50%)
1393,Aaliyah,529766,4,57,M,Never Married,"8,74,438",Medium(<50%)
1394,Jenny,529823,4,27,M,Never Married,"2,09,421",Medium(<50%)
1395,Eileen,530167,6,52,F,Married,"9,95,766",Medium(<50%)
1396,Camron,530326,5,58,M,Married,"1,05,574",Medium(<50%)
1397,Cullen,530362,2,35,M,Married,"2,75,027",Medium(<50%)
1398,Heaven,530604,2,48,F,Never Married,"4,27,301",Medium(<50%)
1399,Cassandra,530701,4,25,M,Divorced,"7,49,782",Medium(<50%)
1400,Jayden,530767,6,52,F,Married,"3,53,426",Medium(<50%)
1401,Cesar,530890,7,27,F,Married,"5,59,283",High(<75%)
1402,Juan,531104,3,22,M,Married,"2,63,142",High(<75%)
1403,Casey,531183,5,40,M,Married,"5,87,588",High(<75%)
1404,Brice,531310,4,62,F,Never Married,"5,44,323",High(<75%)
1405,Johanna,531390,3,68,F,Never Married,"9,34,065",High(<75%)
1406,Alexus,532553,2,57,M,Never Married,"9,66,769",High(<75%)
1407,Abril,532656,6,42,M,Married,"9,49,149",High(<75%)
1408,Jasmin,533325,2,56,M,Married,"2,61,088",High(<75%)
1409,Bryan,533403,4,47,F,Never Married,"9,04,733",High(<75%)
1410,George,533441,8,44,F,Never Married,"7,13,751",High(<75%)
1411,Damien,533483,3,39,F,Married,"4,34,415",High(<75%)
1412,Cayla,533618,1,63,F,Married,"9,53,643",High(<75%)
1413,Greyson,533789,3,60,M,Married,"6,60,860",High(<75%)
1414,Eve,533929,9,66,F,Never Married,"7,64,154",High(<75%)
1415,Jaylin,534030,4,32,F,Married,"3,54,989",High(<75%)
1416,George,534281,1,70,M,Never Married,"1,24,694",High(<75%)
1417,Jakayla,534918,4,21,M,Married,"4,37,726",High(<75%)
1418,Dexter,535060,5,44,F,Married,"7,22,755",High(<75%)
1419,Deshaun,535146,5,40,M,Divorced,"7,50,505",High(<75%)
1420,Alijah,535240,5,67,M,Divorced,"9,20,874",High(<75%)
1421,Jayla,535749,3,47,F,Married,"8,98,283",High(<75%)
1422,Alexys,536204,4,26,M,Married,"7,32,079",High(<75%)
1423,Addison,536735,5,70,F,Married,"1,50,805",High(<75%)
1424,Destini,537121,4,64,M,Divorced,"2,00,264",High(<75%)
1425,Joyce,537267,3,21,F,Married,"2,00,779",High(<75%)
1426,Jeffery,537325,3,37,M,Married,"9,82,775",High(<75%)
1427,Aleah,537436,5,70,M,Married,"9,79,319",High(<75%)
1428,Joyce,537694,2,44,M,Married,"3,46,928",High(<75%)
1429,Brooklyn,538300,5,29,M,Married,"9,30,404",High(<75%)
1430,Andy,538624,10,49,F,Divorced,"2,55,694",High(<75%)
1431,Grant,539404,5,47,M,Divorced,"7,49,291",High(<75%)
1432,Elisa,540013,6,48,M,Divorced,"1,99,688",High(<75%)
1433,Gianni,541260,3,63,F,Never Married,"9,45,286",High(<75%)
1434,Brennen,541345,10,59,M,Married,"3,24,346",High(<75%)
1435,Darrell,541356,6,48,M,Married,"2,70,674",High(<75%)
1436,Heriberto,541892,4,63,F,Never Married,"9,30,971",High(<75%)
1437,Gordon,541950,4,31,F,Married,"8,68,562",High(<75%)
1438,Dominique,542379,3,34,M,Married,"8,64,982",High(<75%)
1439,Jeffrey,542621,5,66,M,Never Married,"3,42,538",High(<75%)
1440,Jalyn,543195,5,54,M,Married,"2,55,115",High(<75%)
1441,Jaelyn,543236,7,52,F,Married,"8,35,803",High(<75%)
1442,Estevan,543461,2,46,M,Married,"2,78,449",High(<75%)
1443,Alaina,543766,6,28,F,Married,"6,61,076",High(<75%)
1444,Brenna,543999,2,26,F,Never Married,"9,24,691",High(<75%)
1445,Hailee,544184,3,50,M,Never Married,"2,82,658",High(<75%)
1446,Chaya,544591,3,60,M,Never Married,"59,887",High(<75%)
1447,Imani,545128,7,65,M,Never Married,"4,42,982",High(<75%)
1448,Eddie,545156,4,27,F,Married,"51,093",High(<75%)
1449,Hugo,545427,2,55,F,Never Married,"1,83,065",High(<75%)
1450,Cali,546630,4,30,M,Married,"8,80,966",High(<75%)
1451,Ezequiel,547281,5,50,F,Never Married,"5,81,642",High(<75%)
1452,Catalina,547548,3,67,M,Never Married,"7,77,363",High(<75%)
1453,Jaidyn,548990,5,57,F,Never Married,"4,60,143",High(<75%)
1454,Hannah,549108,10,43,M,Never Married,"9,49,923",High(<75%)
1455,Aileen,549401,3,57,M,Never Married,"5,09,193",High(<75%)
1456,Johana,549433,3,23,M,Married,"3,85,641",High(<75%)
1457,Jenna,549488,6,37,M,Married,"8,67,912",High(<75%)
1458,Berenice,549571,2,65,M,Never Married,"5,79,199",High(<75%)
1459,Immanuel,550393,3,45,M,Married,"7,40,704",High(<75%)
1460,Jessica,550651,5,48,M,Married,"4,09,064",High(<75%)
1461,Gabriel,551194,9,66,F,Married,"9,72,945",High(<75%)
1462,Destiny,551765,4,22,M,Divorced,"8,86,350",High(<75%)
1463,Hunter,552075,2,57,M,Married,"7,31,678",High(<75%)
1464,Jada,552160,7,45,M,Married,"7,68,304",High(<75%)
1465,Desiree,552343,4,42,F,Never Married,"8,87,851",High(<75%)
1466,Bridget,552440,8,63,M,Divorced,"4,89,716",High(<75%)
1467,Jennifer,552533,4,47,M,Married,"9,83,393",High(<75%)
1468,Julius,552836,4,68,M,Married,"9,12,457",High(<75%)
1469,Brady,553181,8,67,M,Divorced,"9,88,294",High(<75%)
1470,Coby,553450,3,55,M,Divorced,"2,69,977",High(<75%)
1471,Damion,553457,7,39,M,Divorced,"8,44,236",High(<75%)
1472,Hailey,553554,2,39,M,Married,"9,95,543",High(<75%)
1473,Devan,553875,8,61,M,Married,"8,48,038",High(<75%)
1474,Carlton,554717,1,50,M,Married,"7,57,021",High(<75%)
1475,Jaime,554937,5,37,M,Married,"3,78,358",High(<75%)
1476,Ali,555316,4,44,F,Never Married,"9,89,359",High(<75%)
1477,Dominick,555714,8,45,M,Married,"6,44,895",High(<75%)
1478,Christa,556751,4,30,M,Married,"3,88,471",High(<75%)
1479,Jagger,556753,3,38,M,Married,"5,49,869",High(<75%)
1480,Billy,556959,5,18,M,Married,"2,71,455",High(<75%)
1481,Dasia,557097,3,18,M,Married,"5,46,873",High(<75%)
1482,Jerome,557276,3,24,M,Never Married,"9,59,395",High(<75%)
1483,Jonathon,557742,6,44,F,Never Married,"4,27,064",High(<75%)
1484,Jaida,558102,4,39,F,Married,"2,71,146",High(<75%)
1485,Esperanza,558699,3,26,M,Never Married,"8,09,603",High(<75%)
1486,Ali,558757,3,60,M,Married,"6,74,414",High(<75%)
1487,Ahmad,558929,6,59,F,Married,"9,82,184",High(<75%)
1488,Jarrod,558982,5,32,M,Never Married,"8,54,095",High(<75%)
1489,Bradley,559899,4,58,M,Never Married,"2,56,077",High(<75%)
1490,Josef,559978,7,58,F,Married,"6,71,018",High(<75%)
1491,Dalton,560163,2,27,M,Married,"6,29,349",High(<75%)
1492,Jazmin,560431,4,26,F,Never Married,"1,25,273",High(<75%)
1493,Cassandra,560498,5,65,F,Married,"1,75,588",High(<75%)
1494,Branden,561229,6,58,M,Never Married,"2,73,008",High(<75%)
1495,Danna,561298,1,18,F,Married,"5,83,156",High(<75%)
1496,Brandon,561480,10,62,F,Married,"6,31,659",High(<75%)
1497,Jabari,561545,5,38,F,Married,"1,63,666",High(<75%)
1498,Jeffery,561661,3,24,M,Never Married,"6,11,136",High(<75%)
1499,Jordon,561698,5,21,M,Married,"7,90,587",High(<75%)
1500,Evan,561939,3,37,M,Married,"3,55,334",High(<75%)
1501,Gina,562258,3,22,F,Married,"2,14,323",High(<75%)
1502,Jaheim,562959,4,53,F,Married,"6,34,210",High(<75%)
1503,Jena,564704,4,40,M,Married,"1,74,138",High(<75%)
1504,Gina,564870,4,66,M,Married,"1,44,845",High(<75%)
1505,Jarrett,564876,5,56,M,Married,"6,16,268",High(<75%)
1506,Brendon,565366,4,42,M,Married,"4,76,061",High(<75%)
1507,Efrain,565900,4,39,M,Never Married,"6,14,886",High(<75%)
1508,Jaelyn,565905,3,28,M,Divorced,"9,98,789",High(<75%)
1509,Blanca,566901,9,28,F,Divorced,"84,849",High(<75%)
1510,Aiden,567108,5,44,M,Divorced,"8,40,692",High(<75%)
1511,Brad,567298,3,32,M,Married,"1,81,797",High(<75%)
1512,Cody,568284,4,48,F,Divorced,"1,08,263",High(<75%)
1513,Daryl,568544,3,27,F,Married,"7,42,593",High(<75%)
1514,Emily,568784,1,20,M,Married,"3,63,566",High(<75%)
1515,Ean,569787,6,31,M,Divorced,"8,13,966",High(<75%)
1516,Devin,569821,9,24,M,Never Married,"9,89,332",High(<75%)
1517,Justice,569945,5,51,M,Married,"2,44,848",High(<75%)
1518,Gabriella,570856,7,19,M,Married,"4,32,048",High(<75%)
1519,Giana,571745,7,45,F,Married,"4,03,127",High(<75%)
1520,Jake,571989,2,24,M,Married,"98,688",High(<75%)
1521,Geoffrey,572434,5,40,M,Married,"5,33,229",High(<75%)
1522,Gino,573119,4,68,M,Divorced,"1,36,502",High(<75%)
1523,Jalynn,573662,7,29,F,Married,"5,53,004",High(<75%)
1524,Aleah,573891,6,67,F,Married,"5,90,432",High(<75%)
1525,Darian,574249,5,19,M,Married,"8,34,738",High(<75%)
1526,Cyrus,574559,4,18,M,Married,"2,47,245",High(<75%)
1527,Carlton,574711,2,49,F,Divorced,"1,32,499",High(<75%)
1528,Jadyn,574755,5,60,F,Married,"3,25,809",High(<75%)
1529,Grace,574919,3,31,M,Married,"3,48,352",High(<75%)
1530,Bruno,575130,2,62,F,Married,"4,07,942",High(<75%)
1531,Celia,575265,8,27,F,Married,"2,36,138",High(<75%)
1532,Billy,575340,4,51,M,Married,"5,24,214",High(<75%)
1533,Dulce,576075,5,26,M,Never Married,"7,79,464",High(<75%)
1534,Dylan,576077,4,35,M,Divorced,"5,07,844",High(<75%)
1535,Billy,576358,3,64,F,Divorced,"1,42,189",High(<75%)
1536,Greta,576862,5,36,M,Married,"3,99,469",High(<75%)
1537,Bruce,576925,5,21,M,Married,"9,48,979",High(<75%)
1538,Alexandro,577159,2,37,M,Divorced,"7,62,953",High(<75%)
1539,Gaven,577224,4,27,M,Married,"70,335",High(<75%)
1540,Jazlyn,577720,1,52,M,Never Married,"7,09,154",High(<75%)
1541,Gavyn,577879,4,46,M,Married,"4,24,989",High(<75%)
1542,Jose,578375,4,62,M,Married,"7,12,220",High(<75%)
1543,Desiree,578437,9,69,M,Never Married,"3,75,080",High(<75%)
1544,Jaylin,578595,7,33,F,Never Married,"6,17,861",High(<75%)
1545,Cale,578836,7,42,M,Married,"5,82,924",High(<75%)
1546,Alanna,579062,4,22,F,Married,"2,53,117",High(<75%)
1547,Jaylyn,579216,5,33,M,Married,"1,19,761",High(<75%)
1548,Deja,579540,4,53,F,Married,"6,36,419",High(<75%)
1549,Cynthia,579559,4,68,M,Married,"8,21,283",High(<75%)
1550,Catherine,579653,1,44,M,Married,"4,88,094",High(<75%)
1551,Dana,579749,4,68,M,Married,"5,75,203",High(<75%)
1552,Jameson,580384,7,44,M,Married,"6,48,011",High(<75%)
1553,Clarissa,580563,6,67,M,Married,"7,88,699",High(<75%)
1554,Joy ,580899,2,24,M,Married,"7,84,612",High(<75%)
1555,Fidel,581785,4,21,F,Divorced,"1,83,675",High(<75%)
1556,Jamie,582070,3,51,M,Never Married,"2,67,309",High(<75%)
1557,Jesse,582092,2,52,M,Never Married,"8,06,030",High(<75%)
1558,Aiyana,582214,7,57,M,Divorced,"7,24,894",High(<75%)
1559,Aimee,582757,5,42,M,Married,"3,77,493",High(<75%)
1560,Bernard,583020,5,28,M,Married,"8,68,380",High(<75%)
1561,Branden,583357,5,25,M,Married,"6,82,033",High(<75%)
1562,Duane,583492,5,45,M,Never Married,"2,52,942",High(<75%)
1563,Ari,583812,9,59,F,Married,"7,46,507",High(<75%)
1564,Brett,584160,4,22,M,Never Married,"7,89,797",High(<75%)
1565,Dylon,584610,6,45,F,Never Married,"1,97,565",High(<75%)
1566,Darwin,584722,4,64,M,Married,"5,00,412",High(<75%)
